 #pairs p rho "CI lower" "CI upper"
YP-130 127.0 0.093 0.15 -0.03485284029707361 0.32149913199497493
MTurk-771 771.0 0.0 0.315 0.2481235081768881 0.3815398866045956
RW-STANFORD 1052.0 0.038 0.064 0.002890387025260499 0.12324770436390535
RG-65 65.0 0.0 0.63 0.4461147946344559 0.7692391873461119
MC-30 30.0 0.0 0.659 0.3463000223563604 0.8630566122174983
SimLex-999 996.0 0.002 0.097 0.032636562948499266 0.16067215541005425
MTR-3k 2999.0 0.0 0.314 0.28128747099866275 0.3466357663091564
MTurk-287 285.0 0.0 0.361 0.24681146924357603 0.4666553914309541
WS-353-SIM 196.0 0.0 0.692 0.6013746862616826 0.7624893112870267
WS-353-ALL 334.0 0.0 0.617 0.5415987565106454 0.6837770789681874
WS-353-REL 238.0 0.0 0.543 0.44235319278564894 0.633517311627667
